Semut,Step,Dari Kota,Ke Kota,Jarak,Pheromone,Probabilitas,Random R,Keputusan,Rute Sementara
Semut 11,52,11,20,1075.6626,0.348678,1.000000,0.000000,Kembali ke Awal (Kota 20),20-50-36-1-49-32-44-35-39-43-6-40-38-5-25-33-14-13-47-26-28-27-45-4-46-24-48-37-21-30-31-8-41-19-15-12-51-9-16-22-29-3-17-7-2-42-23-18-10-34-52-11-20
Semut 12,1,40,37,41.2311,0.313907,0.176445,0.382852,Pindah ke Kota 37,40-37
Semut 12,2,37,38,43.0116,0.313941,0.214531,0.653672,Pindah ke Kota 38,40-37-38
Semut 12,3,38,24,44.7214,0.313852,0.203837,0.580252,Pindah ke Kota 24,40-37-38-24
Semut 12,52,4,40,188.2817,0.313811,1.000000,0.000000,Kembali ke Awal (Kota 40),40-37-38-24-15-5-6-35-36-39-1-49-32-48-45-19-41-33-34-44-20-50-23-21-2-7-42-16-46-25-28-26-47-13-12-43-9-10-8-18-31-22-30-17-3-27-11-51-14-52-29-4-40
Semut 13,1,3,41,246.9818,0.282430,0.043950,0.836491,Pindah ke Kota 41,3-41
Semut 13,2,41,43,401.9950,0.282430,0.010377,0.889455,Pindah ke Kota 43,3-41-43
Semut 13,3,43,6,260.0481,0.282482,0.052397,0.160704,Pindah ke Kota 6,3-41-43-6
Semut 13,52,13,3,1247.7580,0.282430,1.000000,0.000000,Kembali ke Awal (Kota 3),3-41-43-6-15-5-39-40-35-49-32-22-1-21-9-4-25-34-44-8-17-11-47-26-27-28-12-45-33-37-38-48-24-50-20-23-31-18-16-30-29-42-7-2-19-14-52-51-46-36-10-13-3
Semut 14,1,5,24,31.6228,0.254227,0.198035,0.520000,Pindah ke Kota 24,5-24
Semut 14,2,24,48,15.8114,0.254471,0.655027,0.417379,Pindah ke Kota 48,5-24-48
Semut 14,3,48,50,343.1108,0.254187,0.004566,0.995306,Pindah ke Kota 50,5-24-48-50
Semut 14,52,29,5,509.7548,0.254187,1.000000,0.000000,Kembali ke Awal (Kota 5),5-24-48-50-20-1-22-31-49-46-35-39-40-38-37-34-36-6-15-4-33-9-8-41-19-45-23-44-21-17-2-7-42-30-25-26-47-52-3-18-32-28-11-27-12-16-43-10-51-14-13-29-5
Semut 15,1,19,23,460.9772,0.228768,0.007248,0.303006,Pindah ke Kota 23,19-23
Semut 15,2,23,41,545.0229,0.228768,0.005545,0.784377,Pindah ke Kota 41,19-23-41
Semut 15,3,41,8,64.0312,0.229042,0.497351,0.252665,Pindah ke Kota 8,19-23-41-8
Semut 15,52,2,19,843.4009,0.228815,1.000000,0.000000,Kembali ke Awal (Kota 19),19-23-41-8-18-49-39-36-35-34-22-20-5-1-17-3-32-37-38-40-44-48-15-24-16-50-31-30-21-29-47-26-27-11-14-13-6-4-45-10-9-43-25-52-33-12-46-51-28-7-42-2-19
Semut 16,1,1,49,64.0312,0.206065,0.158293,0.887539,Pindah ke Kota 49,1-49
Semut 16,2,49,32,50.0000,0.206164,0.273278,0.369214,Pindah ke Kota 32,1-49-32
Semut 16,3,32,39,148.0709,0.205909,0.058561,0.787442,Pindah ke Kota 39,1-49-32-39
Semut 16,52,52,1,1220.4610,0.205927,1.000000,0.000000,Kembali ke Awal (Kota 1),1-49-32-39-34-35-36-38-46-11-24-6-15-4-19-12-28-47-26-42-2-7-21-31-17-22-23-30-50-20-29-37-40-44-16-9-10-41-8-45-3-18-27-14-13-48-5-25-51-43-33-52-1
Semut 17,1,40,15,90.1388,0.185346,0.036903,0.099812,Pindah ke Kota 15,40-15
Semut 17,2,15,5,25.0000,0.185483,0.442787,0.272256,Pindah ke Kota 5,40-15-5
Semut 17,3,5,24,31.6228,0.185383,0.302126,0.466716,Pindah ke Kota 24,40-15-5-24
Semut 17,52,26,40,609.1387,0.185302,1.000000,0.000000,Kembali ke Awal (Kota 40),40-15-5-24-48-38-37-34-35-36-6-43-11-52-14-47-28-12-29-30-23-21-7-42-2-22-20-50-44-49-1-32-31-18-3-45-39-25-46-4-51-10-9-41-8-19-17-16-27-33-13-26-40
Semut 18,1,13,26,254.0177,0.166926,0.093865,0.398249,Pindah ke Kota 26,13-26
Semut 18,2,26,44,574.6738,0.166772,0.012103,0.785504,Pindah ke Kota 44,13-26-44
Semut 18,3,44,46,130.8625,0.166795,0.052751,0.857273,Pindah ke Kota 46,13-26-44-46
Semut 18,52,47,13,324.4226,0.166888,1.000000,0.000000,Kembali ke Awal (Kota 13),13-26-44-46-24-48-5-40-4-38-37-35-39-34-36-1-32-49-8-41-2-22-31-3-21-30-29-50-20-51-28-25-15-6-45-18-23-16-12-43-10-9-7-42-17-19-33-11-27-52-14-47-13
Semut 19,1,51,28,337.2314,0.150242,0.053606,0.661525,Pindah ke Kota 28,51-28
Semut 19,2,28,14,484.1746,0.150112,0.014475,0.243943,Pindah ke Kota 14,51-28-14
Semut 19,3,14,47,364.9658,0.150307,0.078979,0.816766,Pindah ke Kota 47,51-28-14-47
Semut 19,52,16,51,710.1056,0.150095,1.000000,0.000000,Kembali ke Awal (Kota 51),51-28-14-47-13-26-48-24-5-15-6-37-35-36-34-21-50-20-18-40-44-46-38-39-49-32-45-19-31-3-41-8-43-1-22-12-4-11-42-7-2-52-27-33-9-10-25-29-30-23-17-16-51
Semut 20,1,9,47,1257.0601,0.135085,0.002047,0.969483,Pindah ke Kota 47,9-47
Semut 20,2,47,26,185.5398,0.135304,0.195945,0.383142,Pindah ke Kota 26,9-47-26
Semut 20,3,26,52,525.0000,0.135120,0.015389,0.998378,Pindah ke Kota 52,9-47-26-52
Semut 20,52,3,9,485.6439,0.135120,1.000000,0.000000,Kembali ke Awal (Kota 9),9-47-26-52-40-36-37-39-24-48-15-6-4-50-46-34-31-18-32-49-1-20-22-25-5-16-23-45-19-41-8-10-35-44-2-42-7-21-30-29-38-17-33-12-28-51-27-14-13-11-43-3-9
Semut 21,1,21,3,288.5308,0.121631,0.035238,0.075904,Pindah ke Kota 3,21-3
Semut 21,2,3,43,556.5968,0.121657,0.008945,0.847292,Pindah ke Kota 43,21-3-43
Semut 21,3,43,34,382.3938,0.121594,0.023862,0.600503,Pindah ke Kota 34,21-3-43-34
Semut 21,52,33,21,1097.9640,0.121577,1.000000,0.000000,Kembali ke Awal (Kota 21),21-3-43-34-36-35-49-15-37-40-38-48-24-5-6-46-41-19-45-8-32-23-18-51-12-28-27-26-47-50-20-44-1-22-31-29-30-17-2-7-42-9-10-39-25-4-16-14-52-13-11-33-21
Semut 22,1,30,49,422.6701,0.109419,0.019888,0.899231,Pindah ke Kota 49,30-49
Semut 22,2,49,33,763.7081,0.109419,0.001005,0.593202,Pindah ke Kota 33,30-49-33
Semut 22,3,33,4,517.3490,0.109449,0.039157,0.034502,Pindah ke Kota 4,30-49-33-4
Semut 22,52,43,30,815.5520,0.109419,1.000000,0.000000,Kembali ke Awal (Kota 30),30-49-33-4-5-24-15-6-48-38-34-35-36-1-52-13-14-26-27-28-12-11-51-25-37-40-39-31-2-7-42-21-3-19-45-18-32-44-46-20-23-50-29-17-22-41-8-10-9-47-16-43-30
Semut 23,1,24,48,15.8114,0.098853,0.563362,0.520186,Pindah ke Kota 48,24-48
Semut 23,2,48,5,47.4342,0.098581,0.192897,0.077494,Pindah ke Kota 5,24-48-5
Semut 23,3,5,6,35.3553,0.098615,0.222056,0.055914,Pindah ke Kota 6,24-48-5-6
Semut 23,52,14,24,931.3565,0.098477,1.000000,0.000000,Kembali ke Awal (Kota 24),24-48-5-6-38-37-34-35-36-39-40-17-3-19-50-16-7-2-30-10-44-25-4-20-23-22-1-49-31-18-9-13-52-27-28-11-51-12-26-47-43-32-21-46-15-8-41-45-33-42-29-14-24
Semut 24,1,3,17,217.3131,0.088795,0.056848,0.165124,Pindah ke Kota 17,3-17
Semut 24,2,17,19,421.0998,0.088721,0.033031,0.315179,Pindah ke Kota 19,3-17-19
Semut 24,3,19,35,330.1893,0.088629,0.014775,0.370537,Pindah ke Kota 35,3-17-19-35
Semut 24,52,33,3,903.3964,0.088629,1.000000,0.000000,Kembali ke Awal (Kota 3),3-17-19-35-36-5-6-24-37-40-38-20-50-25-15-49-48-43-4-22-16-44-46-18-31-47-30-23-1-32-10-9-8-2-7-42-29-45-41-26-13-14-21-34-39-28-27-12-51-11-52-33-3
Semut 25,1,40,35,93.0054,0.079802,0.034637,0.254793,Pindah ke Kota 35,40-35
Semut 25,2,35,36,15.0000,0.080200,0.552414,0.729756,Pindah ke Kota 36,40-35-36
Semut 25,3,36,39,43.0116,0.079877,0.218977,0.778759,Pindah ke Kota 39,40-35-36-39
Semut 25,52,29,40,480.5206,0.079766,1.000000,0.000000,Kembali ke Awal (Kota 40),40-35-36-39-16-26-28-20-23-50-22-18-38-45-8-9-10-41-19-43-37-24-48-47-13-14-30-17-3-1-32-49-44-34-6-15-5-4-51-12-21-31-42-2-7-27-52-11-33-25-46-29-40
Semut 26,1,10,8,180.3469,0.071894,0.092338,0.128536,Pindah ke Kota 8,10-8
Semut 26,2,8,41,64.0312,0.072145,0.462504,0.582998,Pindah ke Kota 41,10-8-41
Semut 26,3,41,14,1423.0425,0.071790,0.001402,0.163199,Pindah ke Kota 14,10-8-41-14
Semut 26,52,30,10,912.1403,0.071835,1.000000,0.000000,Kembali ke Awal (Kota 10),10-8-41-14-40-37-24-48-35-34-36-49-43-44-19-45-32-18-50-20-23-4-6-15-25-31-21-47-27-28-26-13-52-12-16-5-38-39-7-2-42-17-3-22-1-11-51-33-9-46-29-30-10
Semut 27,1,6,40,120.4159,0.064623,0.024614,0.885945,Pindah ke Kota 40,6-40
Semut 27,2,40,5,85.1469,0.064656,0.042199,0.019927,Pindah ke Kota 5,6-40-5
Semut 27,3,5,15,25.0000,0.064788,0.389574,0.051459,Pindah ke Kota 15,6-40-5-15
Semut 27,52,17,6,735.0170,0.064611,1.000000,0.000000,Kembali ke Awal (Kota 6),6-40-5-15-24-48-35-39-36-34-44-10-27-28-12-47-25-4-38-1-22-49-46-16-29-30-50-31-18-19-45-41-23-20-21-37-51-33-9-8-42-2-7-3-32-14-13-26-11-52-43-17-6
Semut 28,1,18,31,80.1561,0.058375,0.228030,0.655444,Pindah ke Kota 31,18-31
Semut 28,2,31,36,270.6474,0.058157,0.024465,0.750879,Pindah ke Kota 36,18-31-36
Semut 28,3,36,35,15.0000,0.058518,0.633634,0.537062,Pindah ke Kota 35,18-31-36-35
Semut 28,52,10,18,547.9507,0.058160,1.000000,0.000000,Kembali ke Awal (Kota 18),18-31-36-35-34-44-6-4-25-46-5-15-40-37-39-43-1-21-22-49-50-20-16-29-28-27-13-47-26-52-12-51-48-38-24-11-32-45-8-41-9-19-3-7-2-42-17-23-30-14-33-10-18
Semut 29,1,48,24,15.8114,0.052718,0.635866,0.503130,Pindah ke Kota 24,48-24
Semut 29,2,24,5,31.6228,0.052472,0.321988,0.100618,Pindah ke Kota 5,48-24-5
Semut 29,3,5,38,50.9902,0.052393,0.106523,0.864808,Pindah ke Kota 38,48-24-5-38
Semut 29,52,11,48,775.0645,0.052335,1.000000,0.000000,Kembali ke Awal (Kota 48),48-24-5-38-37-39-36-35-16-50-20-1-22-32-30-47-26-13-14-52-34-23-25-6-15-40-9-10-19-45-8-41-21-31-18-46-44-49-4-12-3-7-17-43-27-28-51-29-2-42-33-11-48
Semut 30,1,42,2,102.5914,0.047458,0.249448,0.024793,Pindah ke Kota 2,42-2
Semut 30,2,2,7,45.0000,0.047530,0.857431,0.535504,Pindah ke Kota 7,42-2-7
Semut 30,3,7,16,713.8627,0.047131,0.022036,0.163028,Pindah ke Kota 16,42-2-7-16
Semut 30,52,33,42,1386.7318,0.047189,1.000000,0.000000,Kembali ke Awal (Kota 42),42-2-7-16-4-38-40-37-39-35-36-23-41-8-19-21-18-31-3-17-46-1-49-45-32-50-20-22-34-24-48-6-5-15-51-11-14-26-47-28-25-12-27-13-52-10-9-43-44-30-29-33-42
Semut 31,1,5,1,291.2044,0.042403,0.002328,0.001500,Pindah ke Kota 1,5-1
Semut 31,2,1,49,64.0312,0.042572,0.159675,0.937621,Pindah ke Kota 49,5-1-49
Semut 31,3,49,32,50.0000,0.042558,0.276878,0.419695,Pindah ke Kota 32,5-1-49-32
Semut 31,52,42,5,847.6585,0.042391,1.000000,0.000000,Kembali ke Awal (Kota 5),5-1-49-32-48-15-45-19-41-8-10-6-38-24-40-37-39-36-35-34-21-31-7-2-43-20-50-23-30-18-22-46-44-12-27-28-11-51-52-47-25-9-3-17-16-29-4-26-33-13-14-42-5
Semut 32,1,20,50,35.3553,0.038576,0.607714,0.495608,Pindah ke Kota 50,20-50
Semut 32,2,50,32,305.6550,0.038211,0.021463,0.637842,Pindah ke Kota 32,20-50-32
Semut 32,3,32,49,50.0000,0.038359,0.313681,0.794289,Pindah ke Kota 49,20-50-32-49
Semut 32,52,42,20,476.7075,0.038152,1.000000,0.000000,Kembali ke Awal (Kota 20),20-50-32-49-31-40-39-36-35-34-16-48-24-5-17-8-30-23-1-22-44-38-15-4-6-37-25-46-3-45-41-19-11-27-28-26-12-14-13-29-43-2-7-21-18-9-10-33-51-52-47-42-20
Semut 33,1,49,36,81.3941,0.034372,0.088151,0.780225,Pindah ke Kota 36,49-36
Semut 33,2,36,37,85.0000,0.034354,0.019869,0.845563,Pindah ke Kota 37,49-36-37
Semut 33,3,37,34,76.1577,0.034383,0.058641,0.287718,Pindah ke Kota 34,49-36-37-34
Semut 33,52,10,49,507.0010,0.034337,1.000000,0.000000,Kembali ke Awal (Kota 49),49-36-37-34-35-1-2-7-42-22-50-20-3-18-31-44-15-24-48-6-5-4-40-29-23-30-21-38-39-32-45-19-41-8-33-47-14-43-46-12-28-27-51-11-13-52-16-25-26-17-9-10-49
Semut 34,1,43,36,363.5932,0.030903,0.025918,0.674928,Pindah ke Kota 36,43-36
Semut 34,2,36,35,15.0000,0.031323,0.633271,0.657800,Pindah ke Kota 35,43-36-35
Semut 34,3,35,48,145.7738,0.030964,0.012584,0.952991,Pindah ke Kota 48,43-36-35-48
Semut 34,52,33,43,365.0000,0.030919,1.000000,0.000000,Kembali ke Awal (Kota 43),43-36-35-48-12-13-41-5-15-6-24-28-25-4-34-39-38-37-45-19-49-18-31-23-22-3-44-1-32-21-30-9-10-17-42-7-2-16-50-20-46-29-11-52-14-8-51-40-26-27-47-33-43
Semut 35,1,11,25,631.2686,0.027813,0.025809,0.359488,Pindah ke Kota 25,11-25
Semut 35,2,25,15,164.0122,0.027876,0.058295,0.412030,Pindah ke Kota 15,11-25-15
Semut 35,3,15,5,25.0000,0.028051,0.433736,0.267122,Pindah ke Kota 5,11-25-15-5
Semut 35,52,52,11,398.5599,0.027964,1.000000,0.000000,Kembali ke Awal (Kota 11),11-25-15-5-37-40-48-6-24-4-36-35-34-44-21-9-10-49-1-22-32-31-23-20-50-16-7-2-42-19-39-38-47-26-8-3-17-45-41-46-28-14-13-27-29-30-51-18-33-43-12-52-11
Semut 36,1,25,46,173.3494,0.025151,0.052104,0.858561,Pindah ke Kota 46,25-46
Semut 36,2,46,27,518.6521,0.025032,0.004983,0.387125,Pindah ke Kota 27,25-46-27
Semut 36,3,27,24,575.6084,0.025032,0.010253,0.294052,Pindah ke Kota 24,25-46-27-24
Semut 36,52,51,25,392.7467,0.025062,1.000000,0.000000,Kembali ke Awal (Kota 25),25-46-27-24-48-6-15-38-37-40-39-34-36-35-49-10-9-19-22-44-20-50-31-1-32-8-41-17-45-28-12-26-14-13-52-30-23-5-4-43-18-33-29-42-7-2-21-3-16-47-11-51-25
Semut 37,1,7,42,76.1577,0.022809,0.227034,0.880174,Pindah ke Kota 42,7-42
Semut 37,2,42,30,315.1587,0.022537,0.047779,0.798214,Pindah ke Kota 30,7-42-30
Semut 37,3,30,18,385.0325,0.022562,0.025473,0.198859,Pindah ke Kota 18,7-42-30-18
Semut 37,52,17,7,451.2483,0.022561,1.000000,0.000000,Kembali ke Awal (Kota 7),7-42-30-18-22-46-15-48-24-5-12-51-4-6-38-35-36-39-40-37-41-8-3-29-34-49-16-50-20-25-27-43-44-31-1-32-45-19-21-47-13-14-26-28-2-23-9-10-33-11-52-17-7
Semut 38,1,21,31,150.0000,0.020379,0.130764,0.596600,Pindah ke Kota 31,21-31
Semut 38,2,31,1,146.3728,0.020396,0.069891,0.046942,Pindah ke Kota 1,21-31-1
Semut 38,3,1,35,121.6553,0.020317,0.045408,0.619872,Pindah ke Kota 35,21-31-1-35
Semut 38,52,17,21,253.0316,0.020284,1.000000,0.000000,Kembali ke Awal (Kota 21),21-31-1-35-39-37-40-48-4-6-5-38-24-15-36-49-32-3-19-50-20-18-43-41-8-10-46-22-30-23-34-45-44-29-16-26-25-28-27-13-14-47-52-2-7-42-12-51-11-33-9-17-21
Semut 39,1,41,10,243.9775,0.018277,0.027169,0.502865,Pindah ke Kota 10,41-10
Semut 39,2,10,9,83.2166,0.018662,0.462525,0.278814,Pindah ke Kota 9,41-10-9
Semut 39,3,9,49,550.5679,0.018248,0.022439,0.955997,Pindah ke Kota 49,41-10-9-49
Semut 39,52,8,41,64.0312,0.018662,1.000000,0.000000,Kembali ke Awal (Kota 41),41-10-9-49-39-34-35-36-5-15-40-38-48-24-6-4-12-11-27-28-26-14-50-20-30-37-45-31-1-23-2-7-42-3-22-29-19-51-13-52-46-18-32-33-21-17-43-47-16-44-25-8-41
Semut 40,1,13,26,254.0177,0.016517,0.093710,0.347234,Pindah ke Kota 26,13-26
Semut 40,2,26,28,158.9025,0.016597,0.159318,0.601776,Pindah ke Kota 28,13-26-28
Semut 40,3,28,48,469.5743,0.016423,0.017833,0.915367,Pindah ke Kota 48,13-26-28-48
Semut 40,52,42,13,1371.3132,0.016425,1.000000,0.000000,Kembali ke Awal (Kota 13),13-26-28-48-24-5-15-7-2-18-17-45-19-41-3-36-35-34-37-39-40-6-38-1-23-22-32-31-21-30-50-20-12-44-4-51-43-46-16-29-47-25-52-14-8-49-11-27-9-10-33-42-13
Semut 41,1,24,48,15.8114,0.015174,0.567426,0.450562,Pindah ke Kota 48,24-48
Semut 41,2,48,38,49.4975,0.014884,0.177716,0.746282,Pindah ke Kota 38,24-48-38
Semut 41,3,38,40,35.3553,0.014887,0.277593,0.750091,Pindah ke Kota 40,24-48-38-40
Semut 41,52,9,24,606.2384,0.014781,1.000000,0.000000,Kembali ke Awal (Kota 24),24-48-38-40-44-31-1-34-15-5-4-6-32-35-36-39-45-47-26-27-12-51-18-19-41-49-22-10-43-8-23-20-50-2-7-42-29-25-37-3-21-17-28-46-16-30-52-14-13-33-11-9-24
Semut 42,1,40,38,35.3553,0.013455,0.240435,0.694060,Pindah ke Kota 38,40-38
Semut 42,2,38,37,43.0116,0.013422,0.181007,0.697029,Pindah ke Kota 37,40-38-37
Semut 42,3,37,25,207.1835,0.013394,0.011804,0.346339,Pindah ke Kota 25,40-38-37-25
Semut 42,52,26,40,609.1387,0.013335,1.000000,0.000000,Kembali ke Awal (Kota 40),40-38-37-25-43-47-35-4-6-5-15-45-8-30-49-1-32-31-18-29-22-24-48-34-36-39-46-20-23-28-27-12-13-14-52-11-51-19-17-9-10-41-42-7-2-50-16-44-3-21-33-26-40
Semut 43,1,32,16,330.9456,0.011974,0.006974,0.164868,Pindah ke Kota 16,32-16
Semut 43,2,16,18,407.8296,0.011975,0.010990,0.136647,Pindah ke Kota 18,32-16-18
Semut 43,3,18,31,80.1561,0.012174,0.245668,0.643964,Pindah ke Kota 31,32-16-18-31
Semut 43,52,27,32,823.1191,0.011973,1.000000,0.000000,Kembali ke Awal (Kota 32),32-16-18-31-22-36-44-50-25-24-5-40-37-38-49-1-9-8-45-19-43-34-39-35-48-6-4-15-12-51-7-2-23-42-28-26-47-52-11-13-14-46-20-41-3-17-21-30-29-10-33-27-32
Semut 44,1,10,31,619.2940,0.010775,0.007712,0.736324,Pindah ke Kota 31,10-31
Semut 44,2,31,22,104.4031,0.010857,0.128900,0.587131,Pindah ke Kota 22,10-31-22
Semut 44,3,22,23,174.6425,0.010845,0.026571,0.560750,Pindah ke Kota 23,10-31-22-23
Semut 44,52,33,10,500.8992,0.010938,1.000000,0.000000,Kembali ke Awal (Kota 10),10-31-22-23-20-1-35-34-44-16-32-36-39-40-25-49-50-17-42-21-18-3-19-45-5-38-48-24-15-6-4-41-8-9-30-28-12-51-27-13-14-52-11-47-2-7-29-46-37-43-26-33-10
Semut 45,1,16,38,283.7693,0.009698,0.022303,0.563623,Pindah ke Kota 38,16-38
Semut 45,2,38,24,44.7214,0.009763,0.131612,0.347064,Pindah ke Kota 24,16-38-24
Semut 45,3,24,48,15.8114,0.010109,0.613928,0.737695,Pindah ke Kota 48,16-38-24-48
Semut 45,52,17,16,650.7111,0.009720,1.000000,0.000000,Kembali ke Awal (Kota 16),16-38-24-48-46-10-9-40-15-5-6-4-26-34-35-36-39-37-32-1-49-41-19-27-28-12-51-43-45-8-44-25-20-50-21-2-7-42-30-29-22-18-3-31-23-47-52-13-14-11-33-17-16
Semut 46,1,48,24,15.8114,0.009164,0.644223,0.492002,Pindah ke Kota 24,48-24
Semut 46,2,24,5,31.6228,0.008881,0.323823,0.309610,Pindah ke Kota 5,48-24-5
Semut 46,3,5,15,25.0000,0.009030,0.449333,0.638868,Pindah ke Kota 15,48-24-5-15
